,상호명,상권업종소분류코드,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,위도,경도
60570,도담치킨,Q05A08,후라이드/양념치킨,서울특별시,강서구,가양1동,가양동,서울특별시 강서구 양천로 400-12,37.565314358683,126.84574170246
60571,푸라닭치킨,Q05A08,후라이드/양념치킨,서울특별시,용산구,이촌1동,이촌동,서울특별시 용산구 이촌로 248,37.5193737827583,126.975003784208
60572,푸라닭치킨,Q05A08,후라이드/양념치킨,서울특별시,중랑구,묵1동,묵동,서울특별시 중랑구 숙선옹주로 6-9,37.6149952631503,127.078036696284
60573,푸라닭치킨,Q05A08,후라이드/양념치킨,서울특별시,송파구,위례동,장지동,서울특별시 송파구 위례광장로 290,37.47492781747871,127.14280158197501
60579,교촌치킨신월2호점,Q05A08,후라이드/양념치킨,서울특별시,양천구,신월7동,신월동,서울특별시 양천구 지양로 52,37.5204982751209,126.834871108003
60700,미스터짱닭치킨돈까스,Q05A08,후라이드/양념치킨,서울특별시,영등포구,신길1동,신길동,서울특별시 영등포구 영등포로 410,37.5128595319274,126.92338827066999
60708,스모프치킨,Q05A08,후라이드/양념치킨,서울특별시,도봉구,방학1동,방학동,서울특별시 도봉구 도당로 145,37.6672607245142,127.04251293615299
60898,치킨주막,Q05A08,후라이드/양념치킨,서울특별시,용산구,남영동,남영동,서울특별시 용산구 한강대로 278,37.543052361989204,126.972823857432
60919,앤조이치킨월계,Q05A08,후라이드/양념치킨,서울특별시,노원구,월계1동,월계동,서울특별시 노원구 광운로2나길 50,37.6186823180703,127.059991663864
60985,대화치킨,Q05A08,후라이드/양념치킨,서울특별시,종로구,숭인2동,숭인동,서울특별시 종로구 지봉로 28,37.5724777618902,127.015879235752
61061,지코바양념치킨,Q05A08,후라이드/양념치킨,서울특별시,강서구,방화2동,방화동,서울특별시 강서구 양천로14길 13-9,37.5724992088609,126.81070756427799
61081,맥스,Q05A08,후라이드/양념치킨,서울특별시,양천구,목1동,목동,서울특별시 양천구 신목로 102,37.523579622275,126.875753513262
